,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age,CO2(g/km),Total CO2 Emission (g),CO2(g/hour),Priority Score,Priority rank,Prioritized
0,A0006,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2003,CROSSROADS (507 W. BROADWAY),6040.0,,740.4327807,102.75251,mileage,22,272.7826313892652,1647607.0935911618,,0.8870200468322467,3.0,1
1,A0131,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MERCEDES,SMARTC,2008,CROSSROADS (507 W. BROADWAY),3485.0,,412.5972204,54.3575,mileage,17,272.7826313892652,950647.4703915892,,0.755509275203325,13.0,1
2,A0149,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2006,NATIONAL YD. (701 NATIONAL),14379.0,,89.8269456,15.17277,mileage,19,272.7826313892652,3922341.456746244,,0.6383161089222333,198.0,0
3,A0152,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,FOCUS,2008,NATIONAL YD. (701 NATIONAL),11908.0,,8.823055648,6.12665,mileage,17,272.7826313892652,3248295.57458337,,0.6100485693273309,335.0,0
4,A0153,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING PROJECTS,FORD,FOCUS,2008,CROSSROADS (507 W. BROADWAY),8114.0,,20.93388903,7.35584,mileage,17,272.7826313892652,2213358.2710924977,,0.6140958416433211,314.0,0
5,A0154,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,FOCUS,2003,NATIONAL YD. (701 NATIONAL),18299.0,,266.3933329,34.16336,mileage,22,272.7826313892652,4991649.371792164,,0.6988754950904318,42.0,1
6,A0169,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),9651.0,,14.35111165,0.23917,mileage,12,206.1714740204059,1989760.8957709367,,0.08298649454421043,477.0,0
7,A0170,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1173.0,,24.4375,0.17972,mileage,12,206.1714740204059,241839.1390259361,,0.08478471270752314,475.0,0
8,A0174,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),8062.0,,13.93416643,0.20889,mileage,12,206.1714740204059,1662154.4235525124,,0.08286463349629926,478.0,0
9,A0233,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,MANITOBA YD. (250 W. 70TH),3166.0,,429.3538866,29.3742,mileage,23,272.7826313892652,863629.8109784136,,0.7223700424706171,24.0,1
10,A0311,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MERCEDES,SMARTC,2008,EVANS YARD (955 EVANS AVE.),3773.0,,297.8261166,24.62613,mileage,17,272.7826313892652,1029208.8682316976,,0.6909024787586531,54.0,1
11,A0440,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,FINANCE BYLAW FINES,FORD,FOCUS,2007,CITY VEH. PRKG. E. WING (10TH),19222.0,,63.63222209,14.00695,mileage,18,272.7826313892652,5243427.740564455,,0.6317294220439222,220.0,0
12,A0458,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2012,NATIONAL YD. (701 NATIONAL),4124.0,,229.0691681,0.97833,mileage,13,224.4398324779102,925589.8691389016,,0.26666507426880265,433.0,0
13,A0492,"VAN, MINI, 7 PASSENGER",light duty,Community Services Group,PLANNING,FORD,WINDSTAR,1999,CAMBIE ST PARKADE,373.0,,45.59972215,5.86945,mileage,26,272.7826313892652,101747.92150819593,,0.6165464720607123,300.0,0
14,A1127,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),7732.0,,86.30277905,31.31225,mileage,17,272.7826313892652,2109155.3059017984,,0.661088483415067,121.0,0
15,A1131,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),5725.0,,26.9800005,16.52137,mileage,17,272.7826313892652,1561680.5647035432,,0.6285317363298053,234.0,0
16,A1132,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6395.0,,259.0977749,24.79055,mileage,17,272.7826313892652,1744444.9277343508,,0.6839052326200257,66.0,1
17,A1139,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),0.0,,28.09333348,9.06419,mileage,17,272.7826313892652,0.0,,0.617913634209624,292.0,0
18,A1147,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8264.0,,31.91666704,12.14194,mileage,17,272.7826313892652,2254275.665800888,,0.6230961675648387,265.0,0
19,A1148,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8047.0,,14.38611102,10.12694,mileage,17,272.7826313892652,2195081.834789417,,0.6168954663061222,297.0,0
20,A1149,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8616.0,,216.803339,18.28138,mileage,17,272.7826313892652,2350295.152049909,,0.666553180106163,99.0,0
21,A1150,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2008,NATIONAL YD. (701 NATIONAL),15664.0,,109.7511112,26.14138,mileage,17,272.7826313892652,4272867.13808145,,0.6579626175457707,130.0,0
22,A1151,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),5286.0,,11.16749998,8.5964,mileage,17,272.7826313892652,1441928.9895236555,,0.6140721125982838,316.0,0
23,A1152,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6238.0,,71.85694498,12.80166,mileage,17,272.7826313892652,1701618.0546062363,,0.6315163124093623,222.0,0
