,Unnamed: 0,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age,CO2(g/km),Total CO2 Emission (g),CO2(g/hour)
0,0.0,A0006,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2003,CROSSROADS (507 W. BROADWAY),6040.0,,740.4327807,102.75251,mileage,22,272.7826313892652,1647607.0935911618,
1,1.0,A0131,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MERCEDES,SMARTC,2008,CROSSROADS (507 W. BROADWAY),3485.0,,412.5972204,54.3575,mileage,17,272.7826313892652,950647.4703915892,
2,2.0,A0149,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,FOCUS,2006,NATIONAL YD. (701 NATIONAL),14379.0,,89.8269456,15.17277,mileage,19,272.7826313892652,3922341.4567462443,
3,3.0,A0152,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,FOCUS,2008,NATIONAL YD. (701 NATIONAL),11908.0,,8.823055648,6.12665,mileage,17,272.7826313892652,3248295.57458337,
4,4.0,A0153,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING PROJECTS,FORD,FOCUS,2008,CROSSROADS (507 W. BROADWAY),8114.0,,20.93388903,7.35584,mileage,17,272.7826313892652,2213358.2710924977,
5,5.0,A0154,"AUTO, PASSENGER, COMPACT WAGON",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,FOCUS,2003,NATIONAL YD. (701 NATIONAL),18299.0,,266.3933329,34.16336,mileage,22,272.7826313892652,4991649.371792164,
6,6.0,A0169,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),9651.0,,14.35111165,0.23917,mileage,12,206.1714740204059,1989760.8957709372,
7,7.0,A0170,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),1173.0,,24.4375,0.17972,mileage,12,206.1714740204059,241839.1390259361,
8,8.0,A0174,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),8062.0,,13.93416643,0.20889,mileage,12,206.1714740204059,1662154.4235525124,
9,9.0,A0233,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,FOCUS,2002,MANITOBA YD. (250 W. 70TH),3166.0,,429.3538866,29.3742,mileage,23,272.7826313892652,863629.8109784136,
10,10.0,A0311,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,MERCEDES,SMARTC,2008,EVANS YARD (955 EVANS AVE.),3773.0,,297.8261166,24.62613,mileage,17,272.7826313892652,1029208.8682316976,
11,11.0,A0440,"AUTO, PASSENGER, COMPACT",light duty,Corporate Services Group,FINANCE BYLAW FINES,FORD,FOCUS,2007,CITY VEH. PRKG. E. WING (10TH),19222.0,,63.63222209,14.00695,mileage,18,272.7826313892652,5243427.740564455,
12,12.0,A0458,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2012,NATIONAL YD. (701 NATIONAL),4124.0,,229.0691681,0.97833,mileage,13,224.4398324779102,925589.8691389016,
13,13.0,A0492,"VAN, MINI, 7 PASSENGER",light duty,Community Services Group,PLANNING,FORD,WINDSTAR,1999,CAMBIE ST PARKADE,373.0,,45.59972215,5.86945,mileage,26,272.7826313892652,101747.92150819591,
14,14.0,A1127,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),7732.0,,86.30277905,31.31225,mileage,17,272.7826313892652,2109155.3059017984,
15,15.0,A1131,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2008,NATIONAL YD. (701 NATIONAL),5725.0,,26.9800005,16.52137,mileage,17,272.7826313892652,1561680.5647035432,
16,16.0,A1132,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),6395.0,,259.0977749,24.79055,mileage,17,272.7826313892652,1744444.9277343508,
17,17.0,A1139,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,MANITOBA YD. (250 W. 70TH),0.0,,28.09333348,9.06419,mileage,17,272.7826313892652,0.0,
18,18.0,A1147,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2008,NATIONAL YD. (701 NATIONAL),8264.0,,31.91666704,12.14194,mileage,17,272.7826313892652,2254275.6658008876,
